P',P
P,F S D
P,F S
P,S D
P,S
F,M F
F,M
M,{ T i ( B ) ~ } S
D,ö ~ } S
T,e
T,b
T,t
T,g
T,h
T,r
T,k
T,ë
B,É c B
B,É
É,T i
S,I } S
S,I } f
I,G
I,A
I,C
I,Í
I,Ó
I,W
I,H
I,Y
I,Z
I,\
I,_
I,s
I,`
G,T L
G,T i [ Á ]
L,U c L
L,U
U,i
U,A
A,i = E
A,i = K
C,i a
C,i d
K,Q O K
K,( Q O K )
K,Q
Q,X
Q,% X
X,E R E
X,v
X,q
E,E + J
E,E - J
E,J
J,J * N
J,J / N
J,J ^ N
J,N
N,i
N,i [ Á ]
N,( E )
N,l
N,`
R,¿
R,#
R,m
R,>
R,¡
R,<
O,&
O,o
Í,u ( K ) ~ } S Ñ
Í,u ( K ) ~ } S
Ñ,w ( K ) ~ } S Ñ
Ñ,w ( K ) ~ } S
Ñ,x ~ } S
Ó,y ( i ) ~ } Ú f
Ú,V Ú
Ú,V X
Ú,V
V,z l ~ } S
X,á ~ } S
W,é ( K ) ~ } S
H,í ~ } S é ( K )
Y,ñ ~ } S ( E )
Z,ó ( Ä Ë Ö ~ } S
Ä,T A p
Ä,i p
Ä,p
Ë,K p
Ë,p
Ö,A )
Ö,C )
Ö,E )
Ö,)
\,° ( E )
\,° ( )
_,ú ~ } S ü ~ } S
`,i ( Á )
Á,E c Á
Á,E
M,{ T i ( ) ~ } S
`,i ( )
I,Ï
Ï,i [ Á ] = K
Ï,i [ Á ] = E